Hand Starting Value,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,TOTAL
Two Card Wins,28,50,80,78,92,132,137,263,290,228,257,228,187,259,364,766,469,0,3926
Two Card Losses,94,115,214,167,269,287,362,659,698,638,611,574,375,250,154,137,0,0,5643
Two Card Ties,0,0,0,0,0,0,0,0,0,0,0,0,88,93,72,178,0,0,431
Three Card Wins,0,0,1,13,53,97,127,108,109,101,68,75,69,58,58,88,118,0,1143
Three Card Losses,122,162,280,216,277,286,331,762,813,707,744,675,536,507,514,976,317,0,8282
Three Card Ties,0,3,13,16,31,36,41,52,66,58,56,52,45,37,18,17,34,0,575
Second Hand Wins,0,0,0,0,0,0,1,13,53,97,127,318,386,377,418,454,419,392,445,914,137,0
Second Hand Losses,0,0,0,57,122,162,280,216,277,286,331,527,517,415,379,273,172,160,119,125,296,0
Second Hand Ties,0,0,0,0,0,3,13,16,31,36,41,77,85,74,71,75,59,50,26,42,36,0
Final money for two card bets:,-13892.5,,Final money for three card bets:,-70705,,Final money for table bets:,-1175
