Hand Starting Value,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,TOTAL
Two Card Wins,145,339,492,644,819,999,1123,1359,2648,2710,2523,2269,2133,2067,2805,3365,7282,4752,38474
Two Card Losses,424,833,1263,1706,2083,2549,2931,3489,6807,6825,6324,6049,5462,4163,2831,1844,1282,0,56865
Two Card Ties,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,894,824,1882,0,4661
Three Card Wins,0,0,0,23,185,482,857,1210,1077,1066,959,922,887,810,710,583,687,1161,11619
Three Card Losses,569,1172,1738,2191,2517,2799,2770,3264,7843,7947,7425,6926,6290,6116,5506,5218,9563,3184,83038
Three Card Ties,0,0,17,136,200,267,427,374,535,522,463,470,418,365,314,232,196,407,5343
Second Hand Wins,0,0,0,23,185,482,857,1210,3010,3505,3907,4213,4386,4680,4473,4371,8753,1419,45474
Second Hand Losses,569,1172,1738,2191,2517,2799,2770,3264,5688,5302,4251,3430,2587,2118,1649,1329,1296,2900,47570
Second Hand Ties,0,0,17,136,200,267,427,374,757,728,689,675,622,493,408,333,397,433,6956
Final money for two card bets:,-107862.5,,,,,,,,,,,,,,,,,,
Final money for three card bets:,-574265,,,,,,,,,,,,,,,,,,
Final money for table bets:,5100,,,,,,,,,,,,,,,,,,
